# coverage of finite groups of order <= 60
# enumeration: GAP SmallGroups library (CITED, external)
# fixpoint rounds for R1: 2
# UNRESOLVED means: not covered by C1-C5/R1. NOT a height >= 2 claim.
order	id	structure	verdict	monolithic	phase	abelian_normal
57	2	C57	C1-abelian	false	3	C19
58	1	D58	C3-AsemiE	true	2	C29
58	2	C58	C1-abelian	false	2	C29
59	1	C59	C1-abelian	true	59	1
60	1	C5 x (C3 : C4)	R1-subdirect	false	4	C15
60	2	C3 x (C5 : C4)	R1-subdirect	false	4	C15
60	3	C15 : C4	C4-dicyclic	false	4	C15
60	4	C60	C1-abelian	false	3	C20
60	5	A5	UNRESOLVED	true	0	-
60	6	C3 x (C5 : C4)	UNRESOLVED	false	4	C15
60	7	C15 : C4	UNRESOLVED	false	4	C15
60	8	S3 x D10	C3-AsemiE	false	0	-
60	9	C5 x A4	R1-subdirect	false	3	C10 x C2
60	10	C6 x D10	C3-AsemiE	false	2	C30
60	11	C10 x S3	C3-AsemiE	false	2	C30
60	12	D60	C3-AsemiE	false	2	C30
60	13	C30 x C2	C1-abelian	false	2	C30
